2355291,12.5981,31.8174,-112.563,0.239005,-0.168045,-0.811785,0.505612
2355408,26.9263,42.9673,-130.716,-0.34542,0.233405,0.858089,-0.299819
2355496,14.0736,53.4551,-121.882,-0.312448,0.337026,0.801604,-0.382388
2355585,-2.4236,62.0901,-119.955,-0.242287,0.455483,0.736185,-0.438022
2355681,15.227,54.2615,-135.159,-0.281393,0.372864,0.838487,-0.280589
2355770,17.6741,61.5578,-141.718,-0.290491,0.434419,0.827792,-0.204099
2355859,32.7224,31.4253,-115.799,-0.367794,0.0760201,0.822977,-0.426213
2355949,35.6218,26.2488,-120.029,-0.366059,0.0383707,0.837812,-0.403237
2356044,52.6036,10.884,-118.103,-0.422026,-0.153928,0.786989,-0.422905
2356140,38.8843,31.4181,-102.733,-0.409701,-0.000611366,0.765366,-0.496346
2356236,44.2657,7.92339,-102.39,0.333004,0.185664,-0.736448,0.558821
2356331,28.6741,22.867,-83.2139,0.304769,0.0539507,-0.667273,0.67746
2356429,43.9595,-5.15458,-107.286,0.276397,0.255234,-0.736073,0.562723
2356527,41.7956,-12.2721,-115.276,0.246124,0.274185,-0.76419,0.529395
2356641,48.2387,-41.4088,-154.131,-0.300321,-0.400055,0.79975,-0.331909
2356745,52.4899,-39.9704,-160.479,-0.357595,-0.372561,0.805077,-0.291848
2356841,55.4165,-39.6276,-161.844,-0.384617,-0.365353,0.797616,-0.287047
2356935,57.867,-23.5902,-150.617,-0.412724,-0.293155,0.803612,-0.312932
2357031,65.8702,3.75042,-132.098,-0.507757,-0.195496,0.77383,-0.324271
2357127,68.2349,-5.88041,-132.082,-0.494644,-0.266275,0.743876,-0.36204
2357225,67.4412,-4.72737,-128.323,-0.484267,-0.272621,0.737985,-0.382808
2357320,64.8936,0.555146,-124.497,-0.476701,-0.246203,0.748022,-0.390644
2357416,58.378,34.256,-101.739,-0.523789,-0.0946851,0.737815,-0.415102
2357515,59.8471,25.5531,-100.798,-0.49702,-0.162428,0.721575,-0.453782
2357610,55.1791,23.8983,-96.4289,0.460125,0.165094,-0.710431,0.506278
2357706,47.3581,18.9405,-95.0775,0.393971,0.156266,-0.711026,0.561079
2357801,47.1986,18.8679,-94.9506,0.392576,0.156235,-0.710569,0.562642
2357901,45.0935,5.68408,-94.7698,0.312836,0.225595,-0.691706,0.610559
2357997,40.0264,1.10076,-90.8768,0.250165,0.233697,-0.671747,0.656931
2358092,36.2283,-1.20156,-94.151,0.220865,0.219027,-0.693702,0.649633
2358206,38.3859,-6.65506,-104.472,0.225882,0.244326,-0.733654,0.592481
2358300,40.5781,-33.3519,-143.57,-0.231396,-0.359498,0.822382,-0.375374
