2340859,-0.0439,-0.5405,0.8206,-0.18
2340972,0.7427,-0.3389,0.3119,-0.4858
2341065,0.591,-0.5626,0.496,-0.2967
2341157,0.4157,-0.6767,0.5864,-0.1585
2341253,0.2608,-0.6814,0.6681,-0.1455
2341343,0.1802,-0.6237,0.7294,-0.2153
2341432,0.1313,-0.4898,0.7919,-0.3401
2341547,0.1146,-0.2899,0.8074,-0.5007
2341642,0.1668,-0.1529,0.6999,-0.6773
2341735,0.2347,-0.0388,0.4596,-0.8555
2341839,0.2702,0.0329,0.2183,-0.9371
2341931,0.2731,0.0939,-0.0477,-0.9561
2342025,0.2905,0.1641,-0.1775,-0.9258
2342117,0.3299,0.2361,-0.2418,-0.8814
2342213,0.3806,0.2913,-0.2681,-0.8356
2342309,0.4506,0.3245,-0.2506,-0.7929
2342405,0.5923,0.2868,-0.0934,-0.7471
2342516,0.7458,0.0937,0.2622,-0.605
2342613,0.7067,-0.2069,0.5686,-0.3665
2342709,0.5781,-0.3969,0.6816,-0.2086
2342805,0.4225,-0.534,0.7245,-0.1062
2342901,0.3171,-0.6033,0.7237,-0.1076
2342997,0.199,-0.6528,0.7193,-0.1292
2343116,0.0805,-0.6801,0.7097,-0.1647
2343209,0.0138,-0.6727,0.7141,-0.1928
2343302,-0.0159,-0.6442,0.729,-0.2305
2343397,-0.0159,-0.6442,0.729,-0.2305
2343493,-0.0159,-0.6442,0.729,-0.2305
2343589,-0.0159,-0.6442,0.729,-0.2305
2343685,-0.0159,-0.6442,0.729,-0.2305
2343781,0.0827,-0.4237,0.6488,-0.6265
2343877,0.098,-0.3987,0.6204,-0.6681
2343966,0.1028,-0.3974,0.5978,-0.6885
2344059,0.1222,-0.3835,0.5767,-0.7108
2344152,0.1702,-0.3485,0.5363,-0.7495
2344245,0.2381,-0.2817,0.4622,-0.8063
2344341,0.2915,-0.1952,0.3656,-0.862
2344437,0.3203,-0.108,0.2724,-0.9008
2344551,0.3488,-0.0113,0.1968,-0.9162
2344661,0.3814,0.0783,0.1237,-0.9126
2344773,0.4262,0.1952,0.0138,-0.8831
2344869,0.4656,0.2805,-0.0979,-0.8335
2344965,0.527,0.2913,-0.1165,-0.7897
2345061,0.5991,0.2569,-0.1304,-0.7469
2345158,0.657,0.2135,-0.14,-0.7092
2345253,0.7002,0.1566,-0.1052,-0.6884
2345342,0.7405,0.1281,-0.0759,-0.6552
2345434,0.7781,0.0918,-0.0432,-0.6198
2345526,0.7986,0.0564,-0.0324,-0.5981
2345621,0.8051,-0.0801,0.1647,-0.564
2345717,0.7228,-0.2575,0.4221,-0.4827
2345813,0.5411,-0.4198,0.6369,-0.3539
2345909,0.3672,-0.5053,0.7391,-0.2516
2346005,0.2602,-0.4973,0.7995,-0.2137
2346117,0.1595,-0.4598,0.8437,-0.2261
2346213,0.0769,-0.4623,0.85,-0.2403
2346309,0.0109,-0.4667,0.843,-0.2667
2346405,-0.0287,-0.4519,0.8434,-0.289
2346501,-0.0287,-0.4519,0.8434,-0.289
2346597,-0.0287,-0.4519,0.8434,-0.289
2346685,0.132,-0.347,0.7817,-0.501
2346776,0.2044,-0.2906,0.7237,-0.5914
2346869,0.282,-0.2397,0.6343,-0.6786
2346965,0.3295,-0.1809,0.5617,-0.7369
2347061,0.406,-0.0998,0.4094,-0.8108
2347157,0.4648,-0.0444,0.2912,-0.8349
2347269,0.5125,0.0022,0.1755,-0.8405
2347380,0.5563,0.0513,0.033,-0.8286
2347468,0.5941,0.0927,-0.1046,-0.792
2347589,0.6329,0.1257,-0.1901,-0.7398
2347685,0.6577,0.1285,-0.2156,-0.7101
2347781,0.6896,0.1013,-0.1932,-0.6904
2347893,0.733,0.0091,0.0095,-0.68
2347989,0.6701,-0.1386,0.4221,-0.5945
2348087,0.5284,-0.2239,0.6598,-0.4849
2348181,0.3595,-0.2937,0.8047,-0.3697
2348268,0.2187,-0.3332,0.8658,-0.3024
2348357,0.0974,-0.3617,0.8859,-0.2732
2348442,0.0306,-0.3716,0.8873,-0.2711
2348533,-0.03,-0.3726,0.8866,-0.2722
2348619,-0.03,-0.3726,0.8866,-0.2722
2348709,-0.03,-0.3726,0.8866,-0.2722
2348798,-0.03,-0.3726,0.8866,-0.2722
2348885,-0.03,-0.3726,0.8866,-0.2722
2348973,0.1343,-0.2024,0.8335,-0.4961
2349093,0.3048,-0.1244,0.6856,-0.6491
2349175,0.3906,-0.0854,0.5671,-0.7199
2349269,0.4969,-0.0176,0.356,-0.7911
2349365,0.5627,0.0409,0.135,-0.8144
2349461,0.6036,0.1113,-0.0987,-0.7832
2349557,0.6206,0.1331,-0.1733,-0.7529
2349653,0.6388,0.1267,-0.2159,-0.7274
2349741,0.6543,0.1072,-0.2352,-0.7105
2349830,0.6717,0.071,-0.2521,-0.6928
2349915,0.6778,0.0309,-0.2565,-0.6883
2350005,0.6728,-0.0266,-0.2576,-0.6929
2350092,0.6728,-0.0266,-0.2576,-0.6929
2350174,0.6728,-0.0266,-0.2576,-0.6929
2350262,0.6728,-0.0266,-0.2576,-0.6929
2350343,0.6728,-0.0266,-0.2576,-0.6929
